"event_id","country","date","date_precision","category","title","description","actors","source_url","source_type","status","supersedes_event_id"
"inspace-approved-2020","India","2020-06-24","day","institutional","Cabinet Approves Establishment of IN-SPACe","The Union Cabinet approved the creation of the Indian National Space Promotion and Authorization Centre (IN-SPACe) as an autonomous single-window nodal agency under the Department of Space. This decision formally opened the Indian space sector to non-governmental entities (NGEs) by providing equal access to ISRO infrastructure and establishing an independent regulatory body.","Union Cabinet, Department of Space, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=1633917","press_release","enacted",""
"nsil-redefinition-2020","India","2020-06-24","day","institutional","Expansion of NSIL Mandate as Commercial Aggregator","Alongside the creation of IN-SPACe, NewSpace India Limited (NSIL) was re-mandated to transition from a passive marketing arm to a primary commercial operator. Under the new mandate, NSIL builds and owns operational satellites, aggregates commercial launch services, and transfers ISRO-developed technologies to private industry.","Department of Space, NewSpace India Limited (NSIL), ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=1633917","press_release","enacted",""
"space-activities-bill-draft-2017","India","2017-11-21","day","regulatory","Publication of Draft Space Activities Bill 2017","The Department of Space published the initial draft of the Space Activities Bill 2017 to invite public comments. The draft proposed a licensing framework for commercial space operations, third-party liability rules, and penal provisions for unauthorized space activities.","Department of Space, ISRO","https://www.isro.gov.in/SpaceActivitiesBill2017.html","official_gazette","draft",""
"space-activities-bill-draft-2020","India","2020-11-01","month","regulatory","Revision of Draft Space Activities Bill","Following stakeholder feedback and Cabinet approval of IN-SPACe, the Department of Space revised the proposed legislative text to shift regulatory oversight from the Ministry directly to IN-SPACe while refining indemnification clauses.","Department of Space, IN-SPACe","https://pib.gov.in/PressReleasePage.aspx?PRID=1633917","press_release","draft","space-activities-bill-draft-2017"
"inspace-first-auth-dhruva-2022","India","2022-06-24","day","authorization","IN-SPACe Grants Maiden Authorization to Dhruva Space","IN-SPACe granted its first-ever formal authorization to private space firm Dhruva Space for testing its Satellite Orbital Deployer (DSOD-1U) onboard ISRO's PSLV-C53 POEM orbital platform. This marked the operational start of private payload authorizations in India.","IN-SPACe, Dhruva Space, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=1836798","press_release","enacted",""
"inspace-first-auth-digantara-2022","India","2022-06-24","day","authorization","IN-SPACe Authorizes Digantara Space Weather Payload","IN-SPACe authorized Digantara Research and Technologies to integrate and fly its ROBI space weather sensor payload on ISRO's PSLV-C53 mission. The authorization validated private environmental monitoring payloads in low Earth orbit.","IN-SPACe, Digantara, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=1836798","press_release","enacted",""
"agnikul-private-launchpad-2022","India","2022-11-25","day","authorization","Establishment of India's First Private Launchpad","IN-SPACe and ISRO authorized Agnikul Cosmos to set up India's first private launchpad and dedicated mission control center (Dhanush) inside the Satish Dhawan Space Centre at Sriharikota. The facility enables private NGEs to run independent launch ops.","IN-SPACe, Agnikul Cosmos, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=1879744","press_release","enacted",""
"skyroot-vikram-s-auth-2022","India","2022-11-16","day","authorization","Authorization for Maiden Private Rocket Launch","IN-SPACe issued authorization for Skyroot Aerospace to execute Mission Prarambh, granting permission for the sub-orbital launch of the Vikram-S rocket from Sriharikota with three customer payloads.","IN-SPACe, Skyroot Aerospace","https://pib.gov.in/PressReleasePage.aspx?PRID=1876402","press_release","enacted",""
"skyroot-vikram-s-launch-2022","India","2022-11-18","day","launch_milestone","Maiden Launch of Private Sub-Orbital Rocket Vikram-S","Skyroot Aerospace successfully launched Vikram-S from Sriharikota, achieving India's first private rocket flight. The mission demonstrated 3D-printed avionics, composite rocket structures, and solid propulsion systems under IN-SPACe supervision.","Skyroot Aerospace, IN-SPACe, ISRO","https://pib.gov.in/PressReleasePage.aspx?PRID=1877028","press_release","enacted",""
"indian-space-policy-approved-2023","India","2023-04-06","day","regulatory","Union Cabinet Approves Indian Space Policy 2023","The Cabinet Committee on Security approved the Indian Space Policy 2023, laying down an overarching framework that encourages private sector participation across all space domains, from satellite operations to space resource exploration.","Union Cabinet, Cabinet Committee on Security, Department of Space","https://pib.gov.in/PressReleasePage.aspx?PRID=1914304","press_release","enacted","space-activities-bill-draft-2020"
